,ignition_probability,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
0,1e-06,20.890775606498245,20.890775679031428,20.89077567921012,20.89077441853926,2.1099610067699848e-07,1.0,900.0,0.0,,
1,1e-06,20.872143056091232,20.872143155969162,20.87214315691484,20.872141614772616,2.6928237797816787e-07,1.0,900.0,0.0,,
2,0.11110088888888889,10.29226003470365,10.547429896361182,12.92787362988136,6.921447660751481,1.5135961547637107,8.27,109.60633324080183,93.58129976047418,6.526877089099204,-1.1423387526666753
3,0.11110088888888889,10.731232459707568,10.709483061683773,12.76439915622977,8.049654913350087,0.9257937803153334,7.64,101.87076436304491,82.41179785772961,6.504458324161253,-1.1174803735791798
4,0.22220077777777777,9.2982523280307,9.144660844296109,11.062937942399309,7.75214819196816,0.8774772651084125,11.78,48.331735121517625,27.970826178146435,6.483755783204208,-1.1514141152602548
5,0.22220077777777777,9.506895116689275,9.556649536363333,11.733377310812859,7.082838439368279,0.9333581472632851,10.37,58.054719029961234,36.39443095850941,6.40186536198856,-1.1214942468853426
6,0.33330066666666663,8.754610146494585,8.77420299673933,10.38009436991367,7.2367676807322745,0.6441856521199845,18.46,25.269111793471684,13.153404533752491,6.412692912997817,-1.147219178983663
7,0.33330066666666663,8.658452987487413,8.555793655130302,10.495331182516736,7.1677178211181545,0.7891589976139306,18.51,25.813795934614827,14.896865784634656,6.3453185864830655,-1.1258240768498005
8,0.4444005555555555,7.7410844800000325,7.792000920566746,9.191934063132363,6.175789350787463,0.6744067780944988,32.07,11.073483901865359,2.8796949684909263,6.799070386238635,-1.283957720125326
9,0.4444005555555555,7.474064756315487,7.41681239786739,9.120225068775534,6.169535175733927,0.6567513836410653,33.38,10.939928050485811,4.340203577686545,6.59002078034131,-1.2273924441412294
10,0.5555004444444445,6.997818397779766,6.902651209220906,8.832396018861857,5.825834584774667,0.6493415395091262,42.83,7.003250820440717,1.6325162295642366,6.71144846664046,-1.2790792296995943
11,0.5555004444444445,6.7189664367358874,6.641005225259127,7.931070872763804,5.166466129700722,0.5742235901294888,47.02,6.061709636375429,1.05926890051114,6.580576386077145,-1.2479994181289908
12,0.6666003333333334,5.814744408968256,5.828687447553124,6.884883813625418,4.976406589744275,0.37047453096241584,65.01,3.4829290993593105,0.44058009100475914,6.302955735700053,-1.2139477623115689
13,0.6666003333333334,5.797367670620755,5.745821061962872,6.609687216140304,5.032396967933795,0.3182843563105204,63.39,3.6098202686115717,0.569564590934776,6.657391853588744,-1.299490094866181
14,0.7777002222222222,4.335698878031119,4.351566026533762,4.887825318357423,3.594687294493813,0.36621840192672717,72.39,2.2032376629884327,0.1762649320335231,3.9245452640947485,-0.733015710660888
15,0.7777002222222222,4.538474427514053,4.458716878381988,5.548620486887507,3.8153719886609356,0.4155749402690378,73.87,2.2377381278954314,0.20504849007771994,4.742026242586514,-0.9164332663546074
16,0.8888001111111111,3.0258162629229868,3.041130741058569,3.677594810232133,2.3689808485351582,0.3551790618224963,64.45,1.5140943147960215,0.09112101181228044,1.1029678148659483,-0.16579011779880864
17,0.8888001111111111,2.7073596536020674,2.6763168088333558,3.3775805879459213,2.2557650773222204,0.21741024777869083,58.26,1.551417466059992,0.12956905633006655,2.2604139423060197,-0.4493908491401165
18,0.9999,0.029640740740740742,0.0,0.0925925925925926,0.0,0.03674941859137151,0.65,1.0,0.0,0.0,0.0
19,0.9999,0.09166666666666667,0.0462962962962963,0.32407407407407407,0.0,0.10536451197669827,1.98,1.0,0.0,0.0,0.0
