,carring_capacity,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
0,50.0,11.244185043677533,11.298328013022342,15.943670779629139,6.755757338529416,1.4385033659053135,61.922,243.83167597073881,480.9730264527374,9.220628516148604,-1.1007682958655003
1,50.0,11.252826353898344,11.227725198729924,15.558323364953141,7.863803684853978,1.3554228670688677,60.69,269.5450746312671,568.6747448586742,9.214700241708309,-1.0998266178246408
2,50.0,11.315228355768955,11.328837243361399,15.051641557421219,7.1161511879638155,1.3522121278511852,60.166,220.06475309232954,259.3321686315212,9.243877417764049,-1.105960981878822
3,50.0,11.221857487139417,11.295489336860804,15.514090437628635,7.351387102304073,1.3436604903214564,62.23,207.3299085291913,290.9838748800626,9.247490850958334,-1.1064693793068219
4,50.0,11.244627383203591,11.263844391645677,14.821013187517325,6.82126266043706,1.4819138339596596,61.914,236.14050948489586,460.95949261341053,9.239624470015173,-1.10535923541975
5,100.0,22.783727367558633,22.825076597793156,33.773416299032235,13.712230481620377,3.91951740331543,56.236,736.9231323493191,1523.0699348101875,9.173576469432604,-1.085579420174477
6,100.0,22.90131698092536,22.990231850277894,33.24270504770888,13.010689378805793,3.526373117034328,55.79,657.143060216496,1480.8271775646692,9.164429201507827,-1.0798090270219518
7,100.0,22.799779519199877,22.989435311178653,33.95541860160756,10.510635883055759,4.8665033265089,57.514,855.6255092511757,1689.4822774397608,9.19343697352226,-1.0950289731786085
8,100.0,22.891438402862114,23.146655125925438,30.90713601823611,12.780752903684718,3.568476580247104,55.554,564.4305789198838,1160.5446239938287,9.174583615119047,-1.082543662308219
9,100.0,22.82152688701781,22.66478615371242,32.33242105460242,11.356314090137873,3.415484033900869,55.886,560.0759090901049,1246.4571999660895,9.169001367009644,-1.080087923002738
10,150.0,34.56704888107985,34.32600935453904,52.769422814309806,18.71926015257694,6.811809753600525,52.916,1168.5237718976252,2079.874884065111,9.166803477878675,-1.0830736456493548
11,150.0,34.440723049494665,34.43983032011376,52.37599368354271,12.646470569433859,7.275991398449581,54.386,1412.7866323647802,2450.1536541291844,9.15638473968132,-1.0823624142294166
12,150.0,34.54264080742228,34.48219800013544,51.28598555849267,15.881163419755945,6.689869670809654,52.896,1104.6224564978306,2015.449822022795,9.159477979057728,-1.0792930696730294
13,150.0,34.48105076015424,34.7514036346589,51.010188088060765,16.345402908530055,6.679633152057129,53.788,1208.2167465288896,2164.0459799055607,9.153675944114745,-1.0790784802823712
14,150.0,34.20415763188237,34.54659245231758,49.89826042340346,17.495932792256088,6.352827537338748,54.13,1050.3653825330766,2063.4125031535373,9.161479303979348,-1.0796026529986977
15,200.0,46.06488599952744,46.67127278472073,68.63248739379497,18.954802057477668,11.072310724439822,53.188,2004.8316179938472,2989.0369888521695,9.15276254012733,-1.0854720997439162
16,200.0,45.89893054112633,45.71654052522401,69.70049924334856,20.726148599514694,10.893871089298196,52.692,1770.1622009126995,2723.779016363457,9.16278150417203,-1.0875615888581533
17,200.0,46.34450827484706,46.439471951426164,70.61313853638207,20.216385552476375,9.838295823783923,52.636,1688.3810044959516,2649.752082463831,9.154547869939819,-1.0812511361214496
18,200.0,45.982525397338826,45.95180271964453,71.66115611977978,21.172127184363685,9.473157373392977,53.53,1611.484096006737,2714.5237725206694,9.151833314335981,-1.0782360826677009
19,200.0,46.820932653367024,47.23584358240936,70.15642608095806,20.27648581672305,10.280969658659375,51.48,1686.6749222018557,2746.2534701672384,9.160475661915783,-1.0816321049763418
20,250.0,57.13005887062092,59.036963421754436,91.39582470987726,19.956317755918782,15.982035681226792,53.21,2132.0402106515908,3028.754245704759,9.162319018936767,-1.091693884573328
21,250.0,58.25414567427422,58.7557263467924,90.41728402054638,19.43788300388006,14.268073061608924,50.986,1976.3211103463925,2892.5520684601797,9.166375557188827,-1.0876229999372633
22,250.0,57.634048408368876,57.16800702894719,87.68816047634192,26.525330941810505,12.704395905608866,50.804,1855.0646541770504,2860.381805282971,9.145127123052132,-1.0756259703215136
23,250.0,58.019541682582826,59.63526440900323,91.66527552958505,19.462785222452627,18.334238100472746,52.114,2828.063122256853,3438.688842910461,9.170791822022272,-1.1066444824457542
24,250.0,57.50658176203958,57.01926525898561,89.33022123033807,25.128184047555116,14.862247221466902,51.97,2205.414803598634,3157.6896800898257,9.159001334015649,-1.0872239806360269
25,300.0,69.21782817494481,68.55438447836559,110.83480647823136,21.71206750985453,19.183275436977663,51.078,2536.9673608533067,3401.0592459709146,9.162462799599403,-1.0909860073531488
26,300.0,69.57208885431623,69.97665517069905,108.24964659534376,25.030584970719215,19.460020707700195,50.328,2407.3276070070197,3255.015322889354,9.16378554181272,-1.0910661018303793
27,300.0,69.92995731753938,70.80757805879975,110.91607367996843,26.644087297274684,18.851578393675528,48.384,2664.4900531024,3446.4968695821294,9.14813374502762,-1.0852467361160874
28,300.0,67.28446699978024,65.9531887968182,116.82741703734646,22.411370288559258,19.38836265773738,53.148,2553.614078860551,3427.8193802851188,9.153664811604644,-1.0915469338730968
29,300.0,68.57212210598877,68.41364052385312,103.56140362419627,29.707117472044413,16.811660004273744,51.218,2250.346722088973,3150.372994245075,9.150340297921298,-1.0830483685383738
30,350.0,80.40592685201428,78.98681853888047,130.08767962798768,22.898076789810517,24.050833305507304,50.052,2717.9382862759476,3510.0331731687816,9.166087227370674,-1.0963317984205037
31,350.0,80.34892050793601,79.96630197023944,132.18005439235378,28.836799561187544,24.212270211156834,51.198,2950.4771930495026,3641.1709391081017,9.160541193770255,-1.0968719804754468
