,ratio,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
0,1.0,6.432742792349838,6.432578730433718,6.526121612871656,6.346389220913681,0.05092037401425294,1.242,8491.686166666668,2031.4884848363104,9.152999685747702,-1.0019163433141185
1,1.0,6.446413346687672,6.446779756067252,6.523804670722888,6.333912699051188,0.04470516806639899,1.332,8105.748666666666,2275.3290365408693,9.152164328364721,-1.0022738647612588
2,1.0,6.430558455302788,6.4300064167034305,6.520393026969609,6.332039584834258,0.04315823489207156,1.168,8722.583666666666,1760.8104425235242,9.151265212432898,-1.0033373170623208
3,1.0,6.419282987313825,6.42633321461533,6.501890613403368,6.327017709864346,0.041034071596701784,1.302,8088.934666666667,2185.871308034192,9.15164292253326,-1.0004528786187434
4,1.0,6.457230876585012,6.46621548034161,6.548900933970621,6.348209029375005,0.04706850808501939,1.318,8056.3465,2233.0633439307526,9.152434186126111,-1.0017317426081047
5,2.0,10.617380149630621,10.61688084865066,10.78403182698942,10.341711139699177,0.07615872439953549,1.532,7485.75139047619,2625.0329777590523,9.15686163437223,-1.0035754816313502
6,2.0,10.622065801262735,10.623832256591466,10.751700396468182,10.461005004046154,0.061993244572935355,1.576,7248.197633333333,2645.2246356825012,9.156854835971982,-1.0026456124067107
7,2.0,10.616592052891772,10.63044436191658,10.771095511069332,10.42567040362254,0.07646180631651503,1.66,7089.846433333333,2769.3795869027035,9.15640258633063,-1.004119644366914
8,2.0,10.594093117481338,10.592614877598756,10.72209794469942,10.456156934539662,0.0531018978772453,1.684,6823.9829666666665,2699.477087707992,9.157503984193756,-1.0026317458381266
9,2.0,10.589388287547823,10.589434632200783,10.732355168974808,10.429147407999597,0.06417203673820121,1.686,6902.390666666666,2711.2612984901816,9.157044417061615,-1.0036856427569183
10,3.0,13.378458815530472,13.394905603116865,13.913481350133672,12.775249546427116,0.1807150942668966,4.52,3028.738610043173,2291.220854598014,9.146216727905367,-1.0117093412799865
11,3.0,13.464648019205972,13.487036954345772,13.806028662164119,12.8102281967274,0.17664786506282254,4.204,3468.1946059301813,2599.60863329516,9.14999618557787,-1.0124313751168272
12,3.0,13.449390287241789,13.45222905816096,13.827107606522937,12.99368208495937,0.15688386385841863,4.296,3333.431538584291,2481.542527319149,9.149465792900369,-1.0119975002476649
13,3.0,13.455274896614293,13.472313937396972,13.73424442987286,13.045210272139425,0.13939351254401333,4.258,3293.251587484737,2415.2053058728493,9.147196853449579,-1.0101291875207188
14,3.0,13.446370224820702,13.453350766914657,13.862787681608808,12.991269078298064,0.1609035985188233,4.446,3160.34722991453,2356.273533953048,9.149256861356724,-1.0114016519847544
15,4.0,12.814479926904486,12.866546547305076,15.22499082397662,10.60356272007211,0.7784618870246375,29.02,488.9872790184426,638.861033343029,9.161364630438744,-1.0588618817299442
16,4.0,12.739795181312562,12.787868774537825,14.966081031785329,9.647677633012618,0.7858166978926987,29.534,502.93597298102003,679.9455524858914,9.153713873505872,-1.057574731807479
17,4.0,12.8207154402161,12.853535485159247,14.762336842054854,10.680132417857326,0.7380814896101509,29.554,451.35544870014485,471.07676455147674,9.170251371716256,-1.060927004747553
18,4.0,12.872460252674399,12.937889466890706,15.249212712611328,10.638353283180168,0.7809749876682439,29.046,480.25585796283906,629.3234348235505,9.163317506158375,-1.0579439680600604
19,4.0,12.836522684034135,12.89411164484466,14.775404283193703,10.330319997703091,0.7605547507836393,28.528,448.76838769231017,454.01341749290043,9.165578482768796,-1.0598163197551416
20,5.0,11.275619536526252,11.262590795066608,15.623770548253678,7.537382813553761,1.3932981455839828,60.808,325.4010384835782,866.1603014528953,9.168266796617619,-1.0881290616325496
21,5.0,11.304852121093848,11.312627413852745,15.228566247354244,8.034317910612142,1.2880980976949434,60.966,229.00962500998995,445.85073855566543,9.23392262700828,-1.1029479758500784
22,5.0,11.23605476013011,11.298208971154963,14.770998725127557,7.997757911231762,1.3338750390776952,61.896,281.72547873194424,608.4042988638089,9.185854888464627,-1.0926483453602032
23,5.0,11.171323075831559,11.184032396416278,14.794727137025195,7.954696586953857,1.3485468109851109,62.848,265.59156643945647,636.7364795378868,9.20818167161328,-1.097942394927285
24,5.0,11.277029762157957,11.257252866026072,16.27693435572936,7.066075014968142,1.3422575294224584,61.322,284.092348583137,679.70550635921,9.202201342178752,-1.0959823173967258
25,6.0,10.356976726632846,10.347057033541077,16.118751064568595,5.558915086050271,1.7961907858149104,82.332,195.31498879107784,365.2925032871017,9.280222058653246,-1.1295129039118612
26,6.0,10.458762005425633,10.522104593106318,15.03678734966995,5.644719731108543,1.6143208085978689,82.198,163.7092720917359,264.2241634158271,9.286082511438808,-1.1272936287258197
27,6.0,10.371611193139342,10.373952933595604,15.395474459779384,5.948824252955794,1.6501693972671352,83.004,175.2705724417994,286.8103268929404,9.269045236903578,-1.1249397863954695
28,6.0,10.314008452668302,10.199551527447536,15.344950367349645,6.261960760457145,1.7165690808904637,82.848,177.64446709441296,296.2486891526857,9.291133110779235,-1.132004921396293
29,6.0,10.367009055885223,10.391892375060511,14.972936362012662,5.773350483334681,1.804032426884019,82.528,196.62881539166887,451.3976514269634,9.266914359976054,-1.1259480329842715
30,7.0,9.839681133149126,9.715490165933375,14.730850159046717,5.416175853397861,1.9021671588984383,96.214,148.01300647052489,416.52257587296054,9.327451352130721,-1.1461965493201907
